SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    4492      82.0000     178.0000
    4491      80.0000     178.0000
    4490      78.0000     178.0000
    4489      76.0000     178.0000
    4488      74.0000     178.0000
    4487      72.0000     178.0000
    4486      70.0000     178.0000
    4485      68.0000     178.0000
    4484      66.0000     178.0000
    4483      64.0000     178.0000
    4482      62.0000     178.0000
    4481      60.0000     178.0000
    4480      58.0000     178.0000
    4479      56.0000     178.0000
    4478      54.0000     178.0000
    4477      52.0000     178.0000
    4476      50.0000     178.0000
    4475      48.0000     178.0000
    4474      46.0000     178.0000
    4473      44.0000     178.0000
    4472      42.0000     178.0000
    4471      40.0000     178.0000
    4470      38.0000     178.0000
    4469      36.0000     178.0000
    4468      34.0000     178.0000
    4467      32.0000     178.0000
    4466      30.0000     178.0000
    4465      28.0000     178.0000
    4464      26.0000     178.0000
    4463      24.0000     178.0000
    4462      22.0000     178.0000
    4461      20.0000     178.0000
    4460      18.0000     178.0000
    4459      16.0000     178.0000
    4458      14.0000     178.0000
    4457      12.0000     178.0000
    4456      10.0000     178.0000
    4455       8.0000     178.0000
    4454       6.0000     178.0000
    4453       4.0000     178.0000
    4452       2.0000     178.0000
    4451       0.5000     178.0000
    4450      98.0000     176.0000
    4449      96.0000     176.0000
    4448      94.0000     176.0000
    4447      92.0000     176.0000
    4446      90.0000     176.0000
    4445      88.0000     176.0000
    4444      86.0000     176.0000
    4443      84.0000     176.0000
    4442      82.0000     176.0000
    4441      80.0000     176.0000
    4440      78.0000     176.0000
    4439      76.0000     176.0000
    4438      74.0000     176.0000
    4437      72.0000     176.0000
    4436      70.0000     176.0000
    4435      68.0000     176.0000
    4434      66.0000     176.0000
    4433      64.0000     176.0000
    4432      62.0000     176.0000
    4431      60.0000     176.0000
    4430      58.0000     176.0000
    4429      56.0000     176.0000
    4428      54.0000     176.0000
    4427      52.0000     176.0000
    4426      50.0000     176.0000
    4425      48.0000     176.0000
    4424      46.0000     176.0000
    4423      44.0000     176.0000
    4422      42.0000     176.0000
    4421      40.0000     176.0000
    4420      38.0000     176.0000
    4419      36.0000     176.0000
    4418      34.0000     176.0000
    4417      32.0000     176.0000
    4416      30.0000     176.0000
    4415      28.0000     176.0000
    4414      26.0000     176.0000
    4413      24.0000     176.0000
    4412      22.0000     176.0000
